routenum,eta,distance,route,time
1,"36 min","33 mi","via I-95","Wed Sep 26 13:15:22 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:15:22 2018"
1,"36 min","33 mi","via I-95","Wed Sep 26 13:15:29 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:15:29 2018"
1,"36 min","33 mi","via I-95","Wed Sep 26 13:15:38 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:15:38 2018"
1,"36 min","33 mi","via I-95","Wed Sep 26 13:15:44 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:15:44 2018"
1,"36 min","33 mi","via I-95","Wed Sep 26 13:15:51 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:15:51 2018"
1,"36 min","33 mi","via I-95","Wed Sep 26 13:15:58 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:15:58 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:16:05 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:16:05 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:16:13 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:16:13 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:16:20 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:16:20 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:16:27 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:16:27 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:16:34 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:16:34 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:16:41 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:16:41 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:16:49 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:16:49 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:16:56 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:16:56 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:17:03 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:17:03 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:17:10 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:17:10 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:17:16 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:17:16 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:17:23 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:17:23 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:17:30 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:17:30 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:17:37 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:17:37 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:17:43 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:17:43 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:17:52 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:17:52 2018"
1,"35 min","33 mi","via I-95","Wed Sep 26 13:17:59 2018"
2,"42 min","34 mi","via I-95, US-1","Wed Sep 26 13:17:59 2018"
