Route Number,ETA,Distance,Route,Time
1,20 min,21 mi,via I-15,Fri Sep 28 14:21:12 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:21:12 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:21:19 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:21:19 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:21:25 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:21:25 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:21:32 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:21:32 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:21:39 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:21:39 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:21:45 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:21:45 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:21:52 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:21:52 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:21:58 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:21:58 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:22:05 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:22:05 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:22:11 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:22:11 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:22:18 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:22:18 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:22:24 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:22:24 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:22:31 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:22:31 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:22:38 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:22:38 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:22:44 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:22:44 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:22:51 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:22:51 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:22:57 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:22:57 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:23:04 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:23:04 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:23:10 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:23:10 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:23:17 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:23:17 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:23:23 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:23:23 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:23:30 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:23:30 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:23:36 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:23:36 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:23:43 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:23:43 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:23:49 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:23:49 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:23:56 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:23:56 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:24:02 2018
2,25 min,22 mi,"via I-15, Old Highway 395",Fri Sep 28 14:24:02 2018
1,20 min,21 mi,via I-15,Fri Sep 28 14:24:09 2018
