Route Number,ETA,Distance,Route,Time
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:46:45 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:47:04 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:47:04 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:47:04 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:47:26 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:47:26 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:47:26 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:47:44 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:47:44 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:47:44 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:48:02 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:48:02 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:48:02 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:48:20 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:48:20 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:48:20 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:48:44 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:48:44 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:48:44 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:49:02 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:49:02 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:49:02 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:49:24 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:49:24 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:49:24 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:49:43 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:49:43 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:49:43 2018
1,23 min,22.6 miles,I-405 S,Fri Sep 28 01:50:08 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:50:08 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:50:08 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:50:26 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:50:26 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:50:26 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:50:50 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:50:50 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:50:50 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:51:13 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:51:13 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:51:13 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:51:36 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:51:36 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:51:36 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:51:53 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:51:53 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:51:53 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:52:10 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:52:10 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:52:10 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:52:29 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:52:29 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:52:29 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:52:51 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:52:51 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:52:51 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:53:16 2018
2,27 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:53:16 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:53:16 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:53:38 2018
2,27 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:53:38 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:53:38 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:54:01 2018
2,27 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:54:01 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:54:01 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:54:19 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:54:19 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:54:19 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:54:38 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:54:38 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:54:38 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:54:55 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:54:55 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:54:55 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:55:14 2018
2,27 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:55:14 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:55:14 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:55:33 2018
2,27 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:55:33 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:55:33 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:55:51 2018
2,28 min,29.9 miles,I-105 E and I-605 S,Fri Sep 28 01:55:51 2018
3,29 min,30.2 miles,I-105 E and I-405 S,Fri Sep 28 01:55:51 2018
1,22 min,22.6 miles,I-405 S,Fri Sep 28 01:56:11 2018
