Route Number,ETA,Distance,Route,Time
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:36:45 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:36:52 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:36:52 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:36:59 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:36:59 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:37:06 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:37:06 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:37:12 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:37:12 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:37:19 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:37:19 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:37:26 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:37:26 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:37:32 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:37:32 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:37:39 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:37:39 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:37:46 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:37:46 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:37:53 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:37:53 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:38:00 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:38:00 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:38:12 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:38:12 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:38:19 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:38:19 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:38:26 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:38:26 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:38:32 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:38:32 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:38:39 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:38:39 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:38:46 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:38:46 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:38:53 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:38:53 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:39:00 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:39:00 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:39:09 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:39:09 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:39:16 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:39:16 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:39:23 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:39:23 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:39:34 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:39:34 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:39:40 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:39:40 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:39:47 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:39:47 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:39:54 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:39:54 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:40:01 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:40:01 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:40:08 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:40:08 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:40:15 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:40:15 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:40:22 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:40:22 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:40:29 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:40:29 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:40:36 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:40:36 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:40:43 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:40:43 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:40:55 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:40:55 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:41:01 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:41:01 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:41:09 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:41:09 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:41:18 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:41:18 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:41:24 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:41:24 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:41:31 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:41:31 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:41:38 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:41:38 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:41:44 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:41:44 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:41:54 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:41:54 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:42:01 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:42:01 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:42:08 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:42:08 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:42:16 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:42:16 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:42:23 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:42:23 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:42:30 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:42:30 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:42:37 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:42:37 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:42:43 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:42:43 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:42:51 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:42:51 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:42:59 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:42:59 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:43:05 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:43:05 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:43:12 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:43:12 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:43:19 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:43:19 2018
1,22 min,22 mi,via I-405,Fri Sep 28 01:43:25 2018
2,30 min,28 mi,"via CA-91, I-405",Fri Sep 28 01:43:25 2018
