routenum,eta,distance,route,time
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:57:24 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:57:24 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:57:37 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:57:37 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:57:49 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:57:49 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:58:02 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:58:02 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:58:14 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:58:14 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:58:27 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:58:27 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:58:40 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:58:40 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:58:52 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:58:52 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:59:05 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:59:05 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:59:17 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:59:17 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:59:31 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:59:31 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:59:43 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:59:43 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 07:59:56 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 07:59:56 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:00:08 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:00:08 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:00:20 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:00:20 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:00:32 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:00:32 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:00:44 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:00:44 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:00:57 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:00:57 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:01:11 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:01:11 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:01:23 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:01:23 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:01:36 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:01:36 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:01:48 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:01:48 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:02:01 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:02:01 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:02:13 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:02:13 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:02:26 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:02:26 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:02:38 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:02:38 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:02:51 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:02:51 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:03:03 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:03:03 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:03:15 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:03:15 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:03:27 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:03:27 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:03:40 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:03:40 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:03:53 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:03:53 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:04:05 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:04:05 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:04:17 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:04:17 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:04:30 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:04:30 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:04:42 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:04:42 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:04:57 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:04:57 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:05:09 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:05:09 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:05:21 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:05:21 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:05:35 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:05:35 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:05:47 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:05:47 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:06:01 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:06:01 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:06:14 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:06:14 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:06:27 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:06:27 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:06:39 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:06:39 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:06:52 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:06:52 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:07:07 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:07:07 2018"
1,"18 min","21 miles","I-15 S","Fri Sep 28 08:07:20 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:07:20 2018"
1,"19 min","21 miles","I-15 S","Fri Sep 28 08:07:32 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:07:32 2018"
1,"19 min","21 miles","I-15 S","Fri Sep 28 08:07:46 2018"
2,"22 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:07:46 2018"
1,"19 min","21 miles","I-15 S","Fri Sep 28 08:07:58 2018"
2,"23 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:07:58 2018"
1,"19 min","21 miles","I-15 S","Fri Sep 28 08:08:11 2018"
2,"23 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:08:11 2018"
1,"19 min","21 miles","I-15 S","Fri Sep 28 08:08:23 2018"
2,"23 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:08:23 2018"
1,"19 min","21 miles","I-15 S","Fri Sep 28 08:08:36 2018"
2,"23 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:08:36 2018"
1,"19 min","21 miles","I-15 S","Fri Sep 28 08:08:48 2018"
2,"23 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:08:48 2018"
1,"19 min","21 miles","I-15 S","Fri Sep 28 08:09:00 2018"
2,"23 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:09:00 2018"
1,"19 min","21 miles","I-15 S","Fri Sep 28 08:09:12 2018"
2,"23 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:09:12 2018"
1,"19 min","21 miles","I-15 S","Fri Sep 28 08:09:24 2018"
2,"23 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:09:24 2018"
1,"19 min","21 miles","I-15 S","Fri Sep 28 08:09:37 2018"
2,"23 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:09:37 2018"
1,"19 min","21 miles","I-15 S","Fri Sep 28 08:09:50 2018"
2,"23 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:09:50 2018"
1,"19 min","21 miles","I-15 S","Fri Sep 28 08:10:05 2018"
2,"23 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:10:05 2018"
1,"19 min","21 miles","I-15 S","Fri Sep 28 08:10:17 2018"
2,"23 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:10:17 2018"
1,"19 min","21 miles","I-15 S","Fri Sep 28 08:10:30 2018"
2,"23 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 08:10:30 2018"
